"Headword","Definitions","Part of Speech","Semantic Group","Frequency Rank"
"occīdō -cīdere -cīdī -cīsum","kill, cut down","Verb: 3rd Conjugation -ō","Violence","801"
"opera -ae f.","labor, activity, work","Noun: 1st Declension","Business/Money","843"
"oportet -ēre -uit","it is proper, right (+ acc. + infin.)","Verb: Impersonal","Social Life","806"
"ōs ōris n.","mouth, face","Noun: 3rd Declension","The Body","147"
"ōrō -āre","pray","Verb: 1st Conjugation","Religion","755"
"orior orīrī ortus sum","arise, begin","Verb: Deponent","Time","642"
"ōrdō -īnis m.","order, rank","Noun: 3rd Declension","War and Peace","416"
"orbis -is m.","circle; orbis terrārum: world","Noun: 3rd Declension","Geography","322"
"ōrātiō -ōnis f.","speech, address","Noun: 3rd Declension","Speech/Oratory","736"
"opus operis n.","work","Noun: 3rd Declension","Business/Money","332"
"optō -āre","choose, select","Verb: 1st Conjugation","Personality Traits/Characteristics","417"
"ops opis f.","assistance, resources","Noun: 3rd Declension","Business/Money","318"
"oppidum -ī n.","town","Noun: 2nd Declension","The City","635"
"os ossis n.","bone","Noun: 3rd Declension","The Body","696"
"ob","against, on account of (+acc)","Preposition","Place","449"
"nōscō nōscere nōvī nōtum","learn, know","Verb: 3rd Conjugation -ō","Education/Knowledge","347"
"nōs nostrum/nostrī nōbīs nōs","we","Pronoun","Pronouns/Interrogatives","51"
"nōndum","not yet","Adverb","Conjunctions/Adverbs","436"
"nōn","not","Adverb","Conjunctions/Adverbs","6"
"nōmen -inis n.","name","Noun: 3rd Declension","Social Life","135"
"nōlō nōlle nōluī","be unwilling","Verb: Irregular","Emotions","458"
"noceō nocēre nocuī","harm","Verb: 2nd Conjugation","Violence","509"
"nōbilis -e","distinguished, noble; (as subst.) a nobleman or woman","Adjective: 3rd Declension","Personality Traits/Characteristics","455"
"nimius -a -um","too much, excessive","Adjective: 1st and 2nd Declension","Personality Traits/Characteristics","502"
"nimis or nimium","excessively","Adverb","Personality Traits/Characteristics","841"
"noster nostra nostrum","our","Pronoun","Pronouns/Interrogatives","52"
"nōtus -a -um","well-known","Adjective: 1st and 2nd Declension","Personality Traits/Characteristics","477"
"nūntius -ī m.","messenger; news","Noun: 2nd Declension","Travel","919"
"nunc","now","Adverb","Time","50"
"numquam","never","Adverb","Time","251"
"numerus -ī m.","number, amount","Noun: 2nd Declension","Measurement","338"
"nūmen -inis n.","divine will, deity","Noun: 3rd Declension","Religion","452"
"num","interrogative particle implying negative answer","Adverb","Pronouns/Interrogatives","924"
"nūllus -a -um","not any, no one","Adjective: 1st and 2nd Declension","Pronouns/Interrogatives","49"
"nūdus -a -um","naked, bare","Adjective: 1st and 2nd Declension","The Body","545"
"nox noctis f.","night","Noun: 3rd Declension","Lengths of Time","119"
"novus -a -um","new","Adjective: 1st and 2nd Declension","Time","139"
"nihil, nīl","nothing; not at all","Noun: Indeclinable","Measurement","55"
"pōnō pōnere posuī positum","put, place; put aside","Verb: 3rd Conjugation -ō","Verbs of Transport","102"
"perveniō -venīre -vēnī -ventum","arrive, reach","Verb: 4th Conjugation","Travel","409"
"pertineō -tinēre -tinuī","extend over, reach; refer to, pertain to, be the business of","Verb: 2nd Conjugation","Education/Knowledge","866"
"perpetuus -a -um","unbroken, perpetual","Adjective: 1st and 2nd Declension","Lengths of Time","891"
"permittō -mittere -mīsī -missum","yield, allow, permit","Verb: 3rd Conjugation -ō","Verbs of Compelling/Directing","702"
"perīculum -ī n.","danger","Noun: 2nd Declension","Violence","265"
"pergō pergere perrēxī perrēctum","continue, proceed; awaken","Verb: 3rd Conjugation -ō","Motion","821"
"pereō -īre -iī -itum","perish, be lost","Verb: Irregular","Violence","268"
"perdō -dere -didī -ditum","destroy","Verb: 3rd Conjugation -ō","Violence","488"
"per","through (+acc.)","Preposition","Place","30"
"pendō pendere pependī pēnsum","weigh, hang, suspend; pay","Verb: 3rd Conjugation -ō","Business/Money","988"
"pēs pedis m.","foot","Noun: 3rd Declension","The Body","199"
"petō petere petīvī petītum","seek, aim at","Verb: 3rd Conjugation -ō","Motion","83"
"pondus ponderis n.","weight","Noun: 3rd Declension","Measurement","636"
"poēta -ae m.","poet","Noun: 1st Declension","Writing/Poetry","913"
"poena -ae f.","penalty, punishment","Noun: 1st Declension","Justice","223"
"plērus- plēra- plērumque","the greater part, very many, most, the majority","Adjective: 1st and 2nd Declension","Measurement","968"
"plērumque","generally","Adverb","Measurement","974"
"plēnus -a -um","full","Adjective: 1st and 2nd Declension","Measurement","459"
"plēbs plēbis f.","the common people","Noun: 3rd Declension","The City","649"
"placeō placēre placuī placitum","please","Verb: 2nd Conjugation","Social Life","287"
"pius -a -um","dutiful, devoted, just, pious","Adjective: 1st and 2nd Declension","Personality Traits/Characteristics","748"
"pietās -tātis f.","sense of duty, devotion, esp. between parents and children","Noun: 3rd Declension","The Household","767"
"pellō pellere pepulī pulsum","strike, beat, push, drive","Verb: 3rd Conjugation -ō","Violence","563"
"pecus -oris n.","cattle, sheep","Noun: 3rd Declension","Animals/Plants","566"
"pars partis f.","part","Noun: 3rd Declension","Measurement","65"
"pariō parere peperī partum","bring forth, give birth to; accomplish","Verb: 3rd Conjugation -iō","Life and Being","829"
"pāreō pārēre pāruī","obey","Verb: 2nd Conjugation","Verbs of Compelling/Directing","847"
"parēns -ntis m./f.","parent","Noun: 3rd Declension","The Household","190"
"parcō parcere pepercī parsum","spare, be sparing of (+ dat.)","Verb: 3rd Conjugation -ō","War and Peace","412"
"parō -āre","prepare, acquire; parātus -a -um, ready","Verb: 1st Conjugation","Making/Doing","160"
"pār paris","equal","Adjective: 3rd Declension","Measurement","281"
"paene","almost","Adverb","Conjunctions/Adverbs","944"
"ōtium -ī n.","leisure","Noun: 2nd Declension","Social Life","715"
"ostendō ostendere ostendī ostentum","show, hold out","Verb: 3rd Conjugation -ō","Other Senses","371"
"parum","too little","Adverb","Measurement","204"
"parvus -a -um","small","Adjective: 1st and 2nd Declension","Measurement","143"
"pateō patēre patuī","lie open, extend; be evident or obvious","Verb: 2nd Conjugation","Geography","550"
"pecūnia -ae f.","money","Noun: 1st Declension","Business/Money","530"
"pectus -oris n.","chest, breast","Noun: 3rd Declension","The Body","183"
"peccō -āre","commit a wrong, injure","Verb: 1st Conjugation","Justice","792"
"pāx pācis f.","peace","Noun: 3rd Declension","War and Peace","388"
"pauper -eris","poor, lowly","Adjective: 3rd Declension","Business/Money","844"
"paulō, paulum","to only a small extent, slightly, a little","Adverb","Measurement","872"
"paucī -ae -a","few, a few","Adjective: 1st and 2nd Declension","Measurement","858"
"patria -ae f.","fatherland, country","Noun: 1st Declension","Geography","342"
"patior patī passus sum","permit, endure","Verb: Deponent","Verbs of Compelling/Directing","185"
"pater patris m.","father, ancestor","Noun: 3rd Declension","The Household","71"
"modo","just, just now; modo ... modo: now ... now, at one moment ... at another, sometimes ... sometimes","Adverb","Time","152"
"mittō mittere mīsī missum","send, let go","Verb: 3rd Conjugation -ō","Verbs of Compelling/Directing","114"
"miser misera miserum","wretched, pitiable","Adjective: 1st and 2nd Declension","Emotions","137"
"misceō miscēre miscuī mixtum","mix","Verb: 2nd Conjugation","Earth and Water","425"
"mīror mīrārī mīrātus sum","wonder at, marvel at (+ acc.)","Verb: Deponent","Emotions","504"
"mīlle (pl.) mīlia","thousand","Adjective: Numeral","Measurement","247"
"modus -ī m.","measure, manner, kind","Noun: 2nd Declension","Measurement","195"
"moenia -ium n. pl.","walls, fortifications","Noun: 3rd Declension","The City","593"
"mollis -e","soft, yielding, gentle","Adjective: 3rd Declension","Other Senses","356"
"moneō monēre monuī monitum","warn, advise","Verb: 2nd Conjugation","Speech/Oratory","711"
"mōns montis m.","mountain","Noun: 3rd Declension","Geography","242"
"mora -ae f.","delay, hindrance","Noun: 1st Declension","Time","399"
"morbus -ī m.","sickness, disease","Noun: 2nd Declension","The Body","658"
"morior morī mortuus sum","die","Verb: Deponent","Life and Being","253"
"moror morārī morātus sum","delay","Verb: Deponent","Time","581"
"mīles -itis m.","soldier","Noun: 3rd Declension","War and Peace","161"
"meus -a -um","my","Pronoun","Pronouns/Interrogatives","41"
"metus -ūs m.","fear, dread","Noun: 4th Declension","Emotions","215"
"maneō manēre mānsī mānsum","remain","Verb: 2nd Conjugation","Travel","357"
"manus -ūs f.","hand; band of men","Noun: 4th Declension","The Body","48"
"mare -is n.","sea","Noun: 3rd Declension","Earth and Water","125"
"marītus -ī m.","husband","Noun: 2nd Declension","The Household","654"
"māter mātris f.","mother","Noun: 3rd Declension","The Household","127"
"māteria -ae f.","material, subject matter; timber, lumber","Noun: 1st Declension","Speech/Oratory","857"
"medius -a -um","middle, central","Adjective: 1st and 2nd Declension","Place","162"
"membrum -ī n.","limb, member of the body","Noun: 2nd Declension","The Body","481"
"meminī meminisse","remember, recollect","Verb: Irregular","Education/Knowledge","670"
"memoria -ae f.","recollection, memory","Noun: 1st Declension","Education/Knowledge","627"
"mēns mentis f.","mind","Noun: 3rd Declension","The Body","173"
"mēnsa -ae f.","table","Noun: 1st Declension","The House","747"
"mereō merēre meruī meritum","deserve, merit; serve as a soldier","Verb: 2nd Conjugation","Business/Money","852"
"metuō metuere metuī","to fear, to dread","Verb: 3rd Conjugation -ō","Emotions","429"
"malus -a -um","bad, evil","Adjective: 1st and 2nd Declension","Personality Traits/Characteristics","227"
"mors mortis f.","death","Noun: 3rd Declension","Life and Being","95"
"nāvis -is f.","ship","Noun: 3rd Declension","Travel","353"
"ne (enclitic)","interrogative particle attached to the emphatic word in a question","Adverb","Pronouns/Interrogatives","238"
"nē","lest, that not","Conjunction","Conjunctions/Adverbs","47"
"nec","and not, nor; nec ... nec, neither ... nor; → neque","Conjunction","Conjunctions/Adverbs","19"
"necesse (indecl. adj.)","necessary","Adjective: Indeclinable","Business/Money","773"
"necessitās -tātis f.","necessity, need","Noun: 3rd Declension","Business/Money","911"
"nefās n. indecl.","impiety, wickedness","Noun: Indeclinable","Justice","541"
"negō -āre","deny, refuse","Verb: 1st Conjugation","Speech/Oratory","294"
"negōtium -ī n.","business","Noun: 2nd Declension","Business/Money","846"
"nēmō","no one (gen. nūllīus, dat. nūllī, abl. nūllō or nūllā → nūllus -a -um)","Pronoun","Pronouns/Interrogatives","179"
"nemus nemoris n.","grove, forest","Noun: 3rd Declension","Animals/Plants","461"
"neque","and not, nor; neque ... neque, neither ... nor; → nec","Conjunction","Conjunctions/Adverbs","72"
"nesciō -scīre","not know, be ignorant","Verb: 4th Conjugation","Education/Knowledge","525"
"nisi, nī","if not, unless","Conjunction","Conjunctions/Adverbs","100"
"nātus -ī m.","son","Noun: 2nd Declension","The Household","211"
"nātūra -ae f.","nature","Noun: 1st Declension","Life and Being","180"
"nāscor nāscī nātus sum","be born","Verb: Deponent","Life and Being","266"
"mortālis -e","liable to death, mortal; (as subst.) a mortal","Adjective: 3rd Declension","Life and Being","950"
"mōs mōris m.","custom, habit; (pl.) character","Noun: 3rd Declension","Social Life","181"
"moveō -ēre mōvī mōtum","move","Verb: 2nd Conjugation","Motion","192"
"mox","soon","Adverb","Time","469"
"multus -a -um","much, many; multō, by far","Adjective: 1st and 2nd Declension","Measurement","43"
"mulier -eris f.","woman","Noun: 3rd Declension","People","961"
"multitūdō -inis f.","multitude, number","Noun: 3rd Declension","Measurement","733"
"mundus -a -um","clean, neat, elegant","Adjective: 1st and 2nd Declension","Personality Traits/Characteristics","997"
"mundus -ī m.","world, universe, heavens","Noun: 2nd Declension","Earth and Water","350"
"mūnus mūneris n.","gift, offering; duty, obligation; (pl.) gladiatorial show","Noun: 3rd Declension","Social Life","276"
"mūrus -ī m.","wall","Noun: 2nd Declension","The House","508"
"mūtō -āre","change","Verb: 1st Conjugation","Making/Doing","315"
"nam or namque","for, indeed, really","Conjunction","Conjunctions/Adverbs","61"
"narrō -āre","relate, recount","Verb: 1st Conjugation","Speech/Oratory","910"
"niger nigra nigrum","black","Adjective: 1st and 2nd Declension","Vision","634"
"mālō mālle māluī","prefer","Verb: Irregular","Emotions","598"
"legō legere lēgī lēctum","gather, choose, read","Verb: 3rd Conjugation -ō","Writing/Poetry","419"
"littera -ae f.","letter, (pl.) literature","Noun: 1st Declension","Writing/Poetry","710"
"lingua -ae f.","tongue; language","Noun: 1st Declension","The Body","732"
"līmen līminis n.","threshold","Noun: 3rd Declension","The House","516"
"licet licēre licuit licitum est","it is permitted (+ dat. + infin.)","Verb: Impersonal","Justice","175"
"licet","even though","Conjunction","Justice","778"
"libīdō -inis f.","passion, lust","Noun: 3rd Declension","Love","761"
"libet libēre libuit or libitum est","it is pleasing (+ dat. + infin.)","Verb: Impersonal","Social Life","729"
"lībertās -ātis f.","freedom","Noun: 3rd Declension","The City","495"
"liber librī m.","book","Noun: 2nd Declension","Writing/Poetry","901"
"līber lībera līberum","free; līberī (m. pl.): freeborn children","Adjective: 1st and 2nd Declension","Justice","229"
"lēx lēgis f.","law","Noun: 3rd Declension","Justice","264"
"levis -e","light, trivial","Adjective: 3rd Declension","Measurement","220"
"lītus -oris n.","shore","Noun: 3rd Declension","Geography","245"
"locus -ī m.","place; loca (n. pl.) region","Noun: 2nd Declension","Geography","62"
"male","(adv.) badly","Adverb","Personality Traits/Characteristics","603"
"māiōrēs māiōrum m.","ancestors","Noun: 3rd Declension","The Household","764"
"māgnus -a -um","great","Adjective: 1st and 2nd Declension","Measurement","25"
"māgnitūdō -inis f.","greatness, size","Noun: 3rd Declension","Measurement","672"
"magister magistrī m.","master, chief","Noun: 2nd Declension","Education/Knowledge","933"
"magis","more","Adverb","Conjunctions/Adverbs","90"
"maestus -a -um","sad, sorrowful; depressing","Adjective: 1st and 2nd Declension","Emotions","669"
"lūx lūcis f.","light of day","Noun: 3rd Declension","Air and Fire","299"
"longē","far, far off","Adverb","Measurement","400"
"longus -a -um","long, far","Adjective: 1st and 2nd Declension","Measurement","142"
"loquor loquī locūtus sum","speak, talk","Verb: Deponent","Speech/Oratory","310"
"lūmen luminis n.","light","Noun: 3rd Declension","Vision","375"
"lūna -ae f.","moon","Noun: 1st Declension","Air and Fire","902"
"inde","from there, from then","Adverb","Place","328"
"incipiō -cipere -cēpī -ceptum","begin","Verb: 3rd Conjugation -iō","Time","411"
"incidō incidere incidī","fall upon, fall into; happen","Verb: 3rd Conjugation -ō","Motion","871"
"in","in, on (+ abl.); into, onto (+ acc)","Preposition","Place","5"
"impōnō -ere -posuī -positum","put in, put on, impose, levy upon","Verb: 3rd Conjugation -ō","Measurement","437"
"impleō -ēre -plēvī -plētum","fill in, fill up","Verb: 2nd Conjugation","Earth and Water","671"
"impetus -ūs m.","attack","Noun: 4th Declension","Violence","421"
"imperō -āre","command, control","Verb: 1st Conjugation","War and Peace","602"
"imperium -ī n.","command, power","Noun: 2nd Declension","War and Peace","200"
"imperātor -ōris m.","commander","Noun: 3rd Declension","War and Peace","723"
"indicō -āre","point out, show, make known","Verb: 1st Conjugation","Speech/Oratory","980"
"īnferō īnferre intulī illātum","bring upon, against; bellum īnferre: make war on","Verb: Irregular","War and Peace","742"
"īnstituō -stituere -stituī -stitūtum:","undertake; equip","Verb: 3rd Conjugation -ō","Making/Doing","931"
"inquam, inquis, inquit, inquiunt:","say (used with direct speech)","Verb: Irregular","Speech/Oratory","163"
"iniūria -ae f.:","injustice, wrong, affront","Noun: 1st Declension","Justice","381"
"initium -ī n.:","beginning","Noun: 2nd Declension","Time","865"
"inimīcus -a -um:","unfriendly; (as subst.) enemy","Adjective: 1st and 2nd Declension","Personality Traits/Characteristics","952"
"ingredior -gredī -gressus sum:","step in, enter","Verb: Deponent","Motion","885"
"ingrātus -a -um:","unpleasant, disagreeable","Adjective: 1st and 2nd Declension","Personality Traits/Characteristics","592"
"ingēns ingentis","huge, enormous","Adjective: 3rd Declension","Measurement","202"
"ingenium -ī n.","disposition, ability, talent","Noun: 2nd Declension","Education/Knowledge","387"
"īnferus -a -um","low; īnferior: lower; īnfimus or īmus: lowest","Adjective: 1st and 2nd Declension","Geography","428"
"imāgō -inis f.","image, form, figure","Noun: 3rd Declension","Vision","754"
"illūc","to that place","Adverb","Place","955"
"hūmānus -a -um","human","Adjective: 1st and 2nd Declension","People","355"
"hūc","to this place","Adverb","Place","368"
"hostis -is m./f.","stranger, enemy","Noun: 3rd Declension","War and Peace","93"
"hospes hospitis m.","guest, guest-friend; stranger; host","Noun: 3rd Declension","Social Life","873"
"hortor hortārī hortātus sum","urge strongly, advise, exhort","Verb: Deponent","Speech/Oratory","887"
"hōra -ae f.","hour","Noun: 1st Declension","Lengths of Time","664"
"honor -ōris m.","honor, glory; office, post","Noun: 3rd Declension","The City","290"
"honestus -a -um","honorable","Adjective: 1st and 2nd Declension","Personality Traits/Characteristics","580"
"homō hominis m.","human being","Noun: 3rd Declension","People","88"
"humus -ī f.","ground; humī: on the ground","Noun: 2nd Declension","Earth and Water","740"
"iaceō iacēre iacuī","lie","Verb: 2nd Conjugation","The House","228"
"iaciō iacere iēcī iactum","throw, hurl","Verb: 3rd Conjugation -iō","Athletics","899"
"illīc","at that place, there; illinc: from that place","Adverb","Place","396"
"ille illa illud","that","Pronoun","Pronouns/Interrogatives","8"
"ignis -is m.","fire","Noun: 3rd Declension","Air and Fire","151"
"igitur","therefore","Conjunction","Conjunctions/Adverbs","313"
"ideō","for this reason","Adverb","Conjunctions/Adverbs","679"
"īdem eadem idem","the same","Pronoun","Pronouns/Interrogatives","59"
"īctus -ūs m.","blow, stroke","Noun: 4th Declension","Violence","819"
"ibi","there","Adverb","Place","619"
"iam","now; already","Adverb","Time","34"
"hodiē","today","Adverb","Lengths of Time","981"
"īnsula -ae f.:","island","Noun: 1st Declension","Geography","908"
"legiō -ōnis f.","legion","Noun: 3rd Declension","War and Peace","370"
"iuvō iuvāre iūvī iūtum","help, assist; please, delight","Verb: 1st Conjugation","Social Life","390"
"iuvenis -is m.","youth","Noun: 3rd Declension","People","277"
"iūstus -a -um","right, just, fair","Adjective: 1st and 2nd Declension","Justice","770"
"iūs iūris n.","right, justice, law","Noun: 3rd Declension","Justice","314"
"iūrō -āre","take an oath, swear; iūs iūrandum, oath","Verb: 1st Conjugation","Justice","896"
"iungō iungere iūnxī iūnctum","join","Verb: 3rd Conjugation -ō","Making/Doing","513"
"iugum -ī n.","yoke; ridge, chain of hills","Noun: 2nd Declension","Animals/Plants","335"
"iūdicō -āre","judge, decide","Verb: 1st Conjugation","Justice","565"
"iūdicium -ī n.","judgment, decision, trial","Noun: 2nd Declension","Justice","749"
"labor -ōris m.","toil, exertion","Noun: 3rd Declension","Business/Money","201"
"labōrō -āre","toil, work; be in trouble or distress","Verb: 1st Conjugation","Business/Money","900"
"lacrima -ae f.","tear","Noun: 1st Declension","Emotions","354"
"lēgātus -ī m.","lieutenant, envoy","Noun: 2nd Declension","War and Peace","464"
"laus laudis f.","praise, glory","Noun: 3rd Declension","Social Life","444"
"laudō -āre","praise","Verb: 1st Conjugation","Social Life","435"
"lātus -a -um","broad, wide","Adjective: 1st and 2nd Declension","Measurement","824"
"latus -eris n.","side, flank","Noun: 3rd Declension","The Body","382"
"lateō latēre latuī","lie hidden, be hidden","Verb: 2nd Conjugation","Deception","695"
"lapis lapidis m.","stone","Noun: 3rd Declension","Earth and Water","840"
"laetus -a -um","glad, joyful","Adjective: 1st and 2nd Declension","Emotions","262"
"laedō laedere laesī laesum","injure by striking, hurt","Verb: 3rd Conjugation -ō","Violence","783"
"iūdex iūdicis m.","judge, juror","Noun: 3rd Declension","Justice","839"
"iubeō iubēre iussī iussum","bid, order","Verb: 2nd Conjugation","Justice","84"
"intrō -āre","enter","Verb: 1st Conjugation","Motion","766"
"intrā","within (+ acc.)","Preposition","Place","704"
"intersum -esse -fuī","to be between; take part in, attend (+dat.); interest, it is in the interest of (+ gen.)","Verb: Irregular","Place","760"
"interrogō -āre","put a question to, ask (+ acc.)","Verb: 1st Conjugation","Speech/Oratory","953"
"interim","meanwhile","Adverb","Time","693"
"interficiō -ficere -fēcī -fectum","kill","Verb: 3rd Conjugation -iō","Violence","699"
"inter","between, among; during (+ acc.)","Preposition","Place","64"
"intendō -tendere -tendī -tentum:","stretch out, strain","Verb: 3rd Conjugation -ō","Motion","895"
"intellegō -legere -lēxī -lēctum:","understand","Verb: 3rd Conjugation -ō","Education/Knowledge","512"
"integer -gra -grum:","untouched, fresh, complete, whole","Adjective: 1st and 2nd Declension","Personality Traits/Characteristics","815"
"inveniō -venīre -vēnī -ventum","find; discover","Verb: 4th Conjugation","Travel","316"
"invidia -ae f.","envy, jealousy, hatred","Noun: 1st Declension","Emotions","707"
"iterum","again","Adverb","Time","758"
"iter itineris n.","journey, route","Noun: 3rd Declension","Travel","230"
"item","likewise","Adverb","Conjunctions/Adverbs","932"
"itaque","and so, therefore","Conjunction","Conjunctions/Adverbs","208"
"ita","thus, so","Adverb","Conjunctions/Adverbs","120"
"iste ista istud","that, that of yours; adv. istīc or istūc: over there; istinc: from over there","Pronoun","Pronouns/Interrogatives","81"
"is ea id","he, she, it","Pronoun","Pronouns/Interrogatives","13"
"īrāscor īrāscī īrātus sum","grow angry; īrātus -a -um: angry","Verb: Deponent","Emotions","809"
"īra irae f.","wrath, anger","Noun: 1st Declension","Emotions","187"
"ipse ipsa ipsum","him- her- itself","Pronoun","Pronouns/Interrogatives","22"
"fateor fatērī fassus sum","admit, confess; profess, declare; assent, say yes","Verb: Deponent","Justice","689"
"fātum -ī n.","fate; death","Noun: 2nd Declension","Religion","157"
"fax facis f.","torch","Noun: 3rd Declension","Air and Fire","511"
"fēlīciter","luckily","Adverb","Personality Traits/Characteristics","994"
"familia -ae f.","household, family","Noun: 1st Declension","The Household","943"
"famēs -is f.","hunger, famine","Noun: 3rd Declension","Life and Being","828"
"fāma -ae f.","rumor, fame","Noun: 1st Declension","Speech/Oratory","278"
"falsus -a -um","deceptive, false","Adjective: 1st and 2nd Declension","Deception","633"
"fallō fallere fefellī falsum","deceive","Verb: 3rd Conjugation -ō","Deception","503"
"factum -ī n.","deed, accomplishment","Noun: 2nd Declension","Making/Doing","611"
"faciō facere fēcī factum","do, make","Verb: 3rd Conjugation -iō","Making/Doing","32"
"fēlīx -īcis","lucky","Adjective: 3rd Declension","Personality Traits/Characteristics","309"
"fēmina -ae f.","woman","Noun: 1st Declension","People","501"
"fīnis -is m.","end, boundary","Noun: 3rd Declension","Geography","236"
"fingō fingere fīnxī fīctum","shape; invent","Verb: 3rd Conjugation -ō","Making/Doing","721"
"fīlia -ae f.; fīlius -ī m.","daughter; son","Noun: 1st Declension","The Household","909"
"fidēs -eī f.","trust, faith","Noun: 5th Declension","Personality Traits/Characteristics","184"
"fidēlis -e","faithful","Adjective: 3rd Declension","Personality Traits/Characteristics","979"
"fessus -a -um","weary, tired","Adjective: 1st and 2nd Declension","Life and Being","625"
"ferrum -ī n.","iron, iron weapon or implement","Noun: 2nd Declension","Violence","231"
"ferō ferre tulī lātum","bear, carry, endure","Verb: Irregular","Verbs of Transport","45"
"ferē","almost","Adverb","Conjunctions/Adverbs","907"
"ferus -a -um","wild, fierce; fera -ae f.: wild animal","Adjective: 1st and 2nd Declension","Animals/Plants","222"
"fīō fierī factus sum","become, happen, be done","Verb: Irregular","Life and Being","146"
"facinus facinoris n.","deed, crime","Noun: 3rd Declension","Justice","646"
"exemplum -ī n.","example, sample, copy","Noun: 2nd Declension","Speech/Oratory","519"
"excipiō -cipere -cēpī -ceptum","take out","Verb: 3rd Conjugation -iō","Verbs of Transport","394"
"ex, ē","out of, from (+ abl.)","Preposition","Place","26"
"etiam","also, even","Adverb","Conjunctions/Adverbs","67"
"et","and","Conjunction","Conjunctions/Adverbs","1"
"error -ōris m.","wandering; error, mistake","Noun: 3rd Declension","Travel","832"
"errō -āre","go astray, wander","Verb: 1st Conjugation","Travel","402"
"ēripiō -ripere -ripuī -reptum","snatch away, rescue, save","Verb: 3rd Conjugation -iō","Verbs of Transport","349"
"ergō","therefore","Conjunction","Conjunctions/Adverbs","134"
"equus -ī m.","horse","Noun: 2nd Declension","Animals/Plants","248"
"exeō -īre -iī -itum","go forth","Verb: Irregular","Motion","597"
"exerceō -ercēre -ercuī -ercitum","train, exercise, carry on","Verb: 2nd Conjugation","Athletics","576"
"facilis -e","easy","Adjective: 3rd Declension","Personality Traits/Characteristics","451"
"faciēs -ēī f.","form, appearance","Noun: 5th Declension","Vision","479"
"fābula -ae f.","account, tale, story","Noun: 1st Declension","Writing/Poetry","966"
"extrēmus -a -um","farthest, situated at the end or tip, extreme","Adjective: 1st and 2nd Declension","Geography","385"
"exspectō -āre","watch, wait, expect","Verb: 1st Conjugation","Vision","442"
"exsilium -ī n.","exile, banishment","Noun: 2nd Declension","Travel","794"
"experior -perīrī -pertus sum","try thoroughly, test, experience","Verb: Deponent","Education/Knowledge","713"
"exīstimō -āre","think, believe","Verb: 1st Conjugation","Education/Knowledge","613"
"exigō -igere -ēgī -āctum","drive out; collect","Verb: 3rd Conjugation -ō","Verbs of Compelling/Directing","500"
"exercitus -ūs m.","army","Noun: 4th Declension","War and Peace","267"
"eques equitis m.","horseman, knight","Noun: 3rd Declension","War and Peace","296"
"hiems hiemis f.","winter","Noun: 3rd Declension","Lengths of Time","803"
"genus generis n.","origin, lineage, kind","Noun: 3rd Declension","The Household","170"
"gēns gentis f.","family, clan","Noun: 3rd Declension","The Household","194"
"gaudium -ī n.","delight, joy, pleasure","Noun: 2nd Declension","Emotions","727"
"gaudeō gaudēre gāvīsus sum","rejoice","Verb: 2nd Conjugation","Emotions","407"
"fore","","Verb: Irregular","Life and Being","985"
"furor -ōris m.","rage, fury","Noun: 3rd Declension","Emotions","466"
"fūnus fūneris n.","funeral; death; dead body","Noun: 3rd Declension","Religion","524"
"fundō fundere fūdī fūsum","pour, scatter","Verb: 3rd Conjugation -ō","Earth and Water","523"
"fugō -āre","put to flight","Verb: 1st Conjugation","Travel","957"
"fugiō fugere fūgī fugitum","flee, escape","Verb: 3rd Conjugation -iō","Travel","177"
"gerō gerere gessī gestum","bear, manage; bellum gerere, wage war","Verb: 3rd Conjugation -ō","War and Peace","237"
"gīgnō gīgnere genuī genitum","beget, bear, bring forth","Verb: 3rd Conjugation -ō","Life and Being","667"
"hīc","here; hinc: from here","Adverb","Place","80"
"hic haec hoc","this, these","Pronoun","Pronouns/Interrogatives","7"
"haud","not","Adverb","Conjunctions/Adverbs","226"
"habeō habēre habuī habitum","have, hold","Verb: 2nd Conjugation","Other Senses","39"
"gravis -e","heavy, serious","Adjective: 3rd Declension","Measurement","140"
"grātus -a -um","pleasant; grateful","Adjective: 1st and 2nd Declension","Personality Traits/Characteristics","434"
"grātia -ae f.","favor, influence, gratitude","Noun: 1st Declension","Social Life","380"
"gradus -ūs m.","step, pace; grade, rank","Noun: 4th Declension","War and Peace","577"
"glōria -ae f.","glory, fame","Noun: 1st Declension","Social Life","360"
"gladius -ī m.","sword","Noun: 2nd Declension","War and Peace","862"
"fuga -ae f.","flight, route","Noun: 1st Declension","Travel","364"
"flamma -ae f.","flame, fire","Noun: 1st Declension","Air and Fire","298"
"fors fortis f.","chance","Noun: 3rd Declension","Religion","993"
"fōrma -ae f.","shape; beauty","Noun: 1st Declension","Other Senses","422"
"for fārī fātus sum","report, say","Verb: Deponent","Speech/Oratory","739"
"fōns fontis m.","spring, fountain","Noun: 3rd Declension","Earth and Water","706"
"foedus -a -um","foul","Adjective: 1st and 2nd Declension","Other Senses","922"
"fluō fluere fluxī fluxum","flow","Verb: 3rd Conjugation -ō","Earth and Water","772"
"flūmen -inis n.","stream, river","Noun: 3rd Declension","Earth and Water","283"
"fluctus -ūs m","flood, billow, surf","Noun: 4th Declension","Earth and Water","498"
"flōs flōris m.","flower, bloom","Noun: 3rd Declension","Animals/Plants","818"
